0.0010	0.27777
0.0020	0.25519
0.0030	0.24432
0.0040	0.23874
0.0050	0.23334
0.0060	0.22762
0.0070	0.21966
0.0080	0.21522
0.0090	0.21025
0.0100	0.20744
0.0200	0.17809
0.0300	0.15746
0.0400	0.14368
0.0500	0.13355
0.0600	0.12532
0.0700	0.11915
0.0800	0.11330
0.0900	0.10797
0.1000	0.10346
0.2000	0.07528
0.3000	0.06008
0.4000	0.05051
0.5000	0.04361
0.6000	0.03852
0.7000	0.03460
0.8000	0.03141
0.9000	0.02898
1.0000	0.02691
2.0000	0.01599
3.0000	0.01156
4.0000	0.00917
5.0000	0.00759
6.0000	0.00650
7.0000	0.00571
8.0000	0.00509
9.0000	0.00459
10.0000	0.00419
20.0000	0.00225
30.0000	0.00153
40.0000	0.00112
50.0000	0.00084
60.0000	0.00062
70.0000	0.00047
80.0000	0.00035
90.0000	0.00027
100.0000	0.00000
