0.0010	0.30887
0.0020	0.27687
0.0030	0.26682
0.0040	0.26376
0.0050	0.25499
0.0060	0.24599
0.0070	0.23561
0.0080	0.22755
0.0090	0.22243
0.0100	0.22034
0.0200	0.18635
0.0300	0.16448
0.0400	0.15110
0.0500	0.13898
0.0600	0.12729
0.0700	0.12002
0.0800	0.11271
0.0900	0.10769
0.1000	0.10263
0.2000	0.07479
0.3000	0.06049
0.4000	0.05092
0.5000	0.04459
0.6000	0.03979
0.7000	0.03608
0.8000	0.03300
0.9000	0.03050
1.0000	0.02844
2.0000	0.01727
3.0000	0.01273
4.0000	0.01008
5.0000	0.00838
6.0000	0.00716
7.0000	0.00628
8.0000	0.00561
9.0000	0.00505
10.0000	0.00460
20.0000	0.00242
30.0000	0.00158
40.0000	0.00111
50.0000	0.00080
60.0000	0.00059
70.0000	0.00045
80.0000	0.00034
90.0000	0.00026
100.0000	0.00000
